,description,file,id,len,name,label
10,"NZ_FQXZ01000060.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000060.1,11177,NZ_FQXZ01000060.1,Vibrio aerogenes
11,"NZ_FQXZ01000056.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000056.1,5917,NZ_FQXZ01000056.1,Vibrio aerogenes
12,"NZ_FQXZ01000072.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000072.1,1428,NZ_FQXZ01000072.1,Vibrio aerogenes
13,"NZ_FQXZ01000053.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000053.1,14798,NZ_FQXZ01000053.1,Vibrio aerogenes
14,"NZ_FQXZ01000052.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000052.1,13379,NZ_FQXZ01000052.1,Vibrio aerogenes
15,"NZ_FQXZ01000048.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000048.1,20257,NZ_FQXZ01000048.1,Vibrio aerogenes
16,"NZ_FQXZ01000047.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000047.1,23084,NZ_FQXZ01000047.1,Vibrio aerogenes
17,"NZ_FQXZ01000063.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000063.1,1371,NZ_FQXZ01000063.1,Vibrio aerogenes
18,"NZ_FQXZ01000020.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000020.1,5620,NZ_FQXZ01000020.1,Vibrio aerogenes
19,"NZ_FQXZ01000017.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000017.1,67412,NZ_FQXZ01000017.1,Vibrio aerogenes
20,"NZ_FQXZ01000028.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000028.1,4579,NZ_FQXZ01000028.1,Vibrio aerogenes
21,"NZ_FQXZ01000031.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000031.1,27860,NZ_FQXZ01000031.1,Vibrio aerogenes
22,"NZ_FQXZ01000069.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000069.1,4275,NZ_FQXZ01000069.1,Vibrio aerogenes
23,"NZ_FQXZ01000050.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000050.1,35273,NZ_FQXZ01000050.1,Vibrio aerogenes
24,"NZ_FQXZ01000014.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000014.1,180465,NZ_FQXZ01000014.1,Vibrio aerogenes
25,"NZ_FQXZ01000054.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000054.1,10520,NZ_FQXZ01000054.1,Vibrio aerogenes
26,"NZ_FQXZ01000001.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000001.1,97699,NZ_FQXZ01000001.1,Vibrio aerogenes
27,"NZ_FQXZ01000005.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000005.1,275127,NZ_FQXZ01000005.1,Vibrio aerogenes
28,"NZ_FQXZ01000035.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000035.1,123878,NZ_FQXZ01000035.1,Vibrio aerogenes
29,"NZ_FQXZ01000074.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000074.1,739,NZ_FQXZ01000074.1,Vibrio aerogenes
30,"NZ_FQXZ01000059.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000059.1,1093,NZ_FQXZ01000059.1,Vibrio aerogenes
31,"NZ_FQXZ01000002.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000002.1,29659,NZ_FQXZ01000002.1,Vibrio aerogenes
32,"NZ_FQXZ01000023.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000023.1,133516,NZ_FQXZ01000023.1,Vibrio aerogenes
33,"NZ_FQXZ01000064.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000064.1,1180,NZ_FQXZ01000064.1,Vibrio aerogenes
34,"NZ_FQXZ01000032.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000032.1,115887,NZ_FQXZ01000032.1,Vibrio aerogenes
35,"NZ_FQXZ01000041.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000041.1,75167,NZ_FQXZ01000041.1,Vibrio aerogenes
36,"NZ_FQXZ01000049.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000049.1,34754,NZ_FQXZ01000049.1,Vibrio aerogenes
37,"NZ_FQXZ01000004.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000004.1,88780,NZ_FQXZ01000004.1,Vibrio aerogenes
38,"NZ_FQXZ01000058.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000058.1,812,NZ_FQXZ01000058.1,Vibrio aerogenes
39,"NZ_FQXZ01000013.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000013.1,132421,NZ_FQXZ01000013.1,Vibrio aerogenes
40,"NZ_FQXZ01000007.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000007.1,392673,NZ_FQXZ01000007.1,Vibrio aerogenes
41,"NZ_FQXZ01000027.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000027.1,100015,NZ_FQXZ01000027.1,Vibrio aerogenes
42,"NZ_FQXZ01000026.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000026.1,61337,NZ_FQXZ01000026.1,Vibrio aerogenes
43,"NZ_FQXZ01000003.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000003.1,75437,NZ_FQXZ01000003.1,Vibrio aerogenes
44,"NZ_FQXZ01000006.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000006.1,143275,NZ_FQXZ01000006.1,Vibrio aerogenes
45,"NZ_FQXZ01000011.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000011.1,83365,NZ_FQXZ01000011.1,Vibrio aerogenes
46,"NZ_FQXZ01000016.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000016.1,31791,NZ_FQXZ01000016.1,Vibrio aerogenes
47,"NZ_FQXZ01000039.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000039.1,340201,NZ_FQXZ01000039.1,Vibrio aerogenes
48,"NZ_FQXZ01000018.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000018.1,61012,NZ_FQXZ01000018.1,Vibrio aerogenes
49,"NZ_FQXZ01000010.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000010.1,30784,NZ_FQXZ01000010.1,Vibrio aerogenes
50,"NZ_FQXZ01000046.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000046.1,405720,NZ_FQXZ01000046.1,Vibrio aerogenes
51,"NZ_FQXZ01000022.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000022.1,70834,NZ_FQXZ01000022.1,Vibrio aerogenes
52,"NZ_FQXZ01000030.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000030.1,98164,NZ_FQXZ01000030.1,Vibrio aerogenes
53,"NZ_FQXZ01000015.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000015.1,396077,NZ_FQXZ01000015.1,Vibrio aerogenes
54,"NZ_FQXZ01000034.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000034.1,26762,NZ_FQXZ01000034.1,Vibrio aerogenes
55,"NZ_FQXZ01000012.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000012.1,88996,NZ_FQXZ01000012.1,Vibrio aerogenes
56,"NZ_FQXZ01000044.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000044.1,110485,NZ_FQXZ01000044.1,Vibrio aerogenes
57,"NZ_FQXZ01000055.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000055.1,11456,NZ_FQXZ01000055.1,Vibrio aerogenes
58,"NZ_FQXZ01000008.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000008.1,17694,NZ_FQXZ01000008.1,Vibrio aerogenes
59,"NZ_FQXZ01000021.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000021.1,135907,NZ_FQXZ01000021.1,Vibrio aerogenes
60,"NZ_FQXZ01000009.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000009.1,114177,NZ_FQXZ01000009.1,Vibrio aerogenes
61,"NZ_FQXZ01000024.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000024.1,43690,NZ_FQXZ01000024.1,Vibrio aerogenes
62,"NZ_FQXZ01000025.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000025.1,12773,NZ_FQXZ01000025.1,Vibrio aerogenes
63,"NZ_FQXZ01000029.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000029.1,104631,NZ_FQXZ01000029.1,Vibrio aerogenes
64,"NZ_FQXZ01000037.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000037.1,118998,NZ_FQXZ01000037.1,Vibrio aerogenes
65,"NZ_FQXZ01000043.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000043.1,4061,NZ_FQXZ01000043.1,Vibrio aerogenes
66,"NZ_FQXZ01000057.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000057.1,3361,NZ_FQXZ01000057.1,Vibrio aerogenes
67,"NZ_FQXZ01000019.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000019.1,83212,NZ_FQXZ01000019.1,Vibrio aerogenes
68,"NZ_FQXZ01000033.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000033.1,70056,NZ_FQXZ01000033.1,Vibrio aerogenes
69,"NZ_FQXZ01000065.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000065.1,16001,NZ_FQXZ01000065.1,Vibrio aerogenes
70,"NZ_FQXZ01000036.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000036.1,113071,NZ_FQXZ01000036.1,Vibrio aerogenes
71,"NZ_FQXZ01000051.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000051.1,26764,NZ_FQXZ01000051.1,Vibrio aerogenes
72,"NZ_FQXZ01000038.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000038.1,49720,NZ_FQXZ01000038.1,Vibrio aerogenes
73,"NZ_FQXZ01000040.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000040.1,87931,NZ_FQXZ01000040.1,Vibrio aerogenes
74,"NZ_FQXZ01000042.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000042.1,11771,NZ_FQXZ01000042.1,Vibrio aerogenes
75,"NZ_FQXZ01000075.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000075.1,807,NZ_FQXZ01000075.1,Vibrio aerogenes
76,"NZ_FQXZ01000045.1 Vibrio aerogenes CECT 7868, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900130105.1_Vibrio.aerogenes_CECT_7868_Velvet_Prokka_genomic.fna,NZ_FQXZ01000045.1,136945,NZ_FQXZ01000045.1,Vibrio aerogenes
77,"NZ_FOWX01000096.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000096.1,1112,NZ_FOWX01000096.1,Pseudomonas borbori
78,"NZ_FOWX01000092.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000092.1,1362,NZ_FOWX01000092.1,Pseudomonas borbori
79,"NZ_FOWX01000089.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000089.1,1992,NZ_FOWX01000089.1,Pseudomonas borbori
80,"NZ_FOWX01000085.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000085.1,2630,NZ_FOWX01000085.1,Pseudomonas borbori
81,"NZ_FOWX01000084.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000084.1,2654,NZ_FOWX01000084.1,Pseudomonas borbori
82,"NZ_FOWX01000095.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000095.1,1208,NZ_FOWX01000095.1,Pseudomonas borbori
83,"NZ_FOWX01000083.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000083.1,3227,NZ_FOWX01000083.1,Pseudomonas borbori
84,"NZ_FOWX01000087.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000087.1,2079,NZ_FOWX01000087.1,Pseudomonas borbori
85,"NZ_FOWX01000081.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000081.1,3679,NZ_FOWX01000081.1,Pseudomonas borbori
86,"NZ_FOWX01000080.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000080.1,3692,NZ_FOWX01000080.1,Pseudomonas borbori
87,"NZ_FOWX01000079.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000079.1,3729,NZ_FOWX01000079.1,Pseudomonas borbori
88,"NZ_FOWX01000082.1 Pseudomonas borbori strain DSM 17834, whole genome shotgun sequence",/data/genomes/GenSeq_fastas/valid/GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic.fna,NZ_FOWX01000082.1,3475,NZ_FOWX01000082.1,Pseudomonas borbori
